full_name,stars,forks,open_issues,watchers,size_kb,contributors,commits,has_wiki,has_projects,has_downloads,topics_count,primary_language,repo_age_days,success
dotMage/dotmage-server,0,0,0,0,70,1,18,0,1,1,0,Python,0,0
Malcolm2k02/Designing-Human-Centered-AI,0,0,0,0,72,1,20,1,1,1,0,Python,21,0
momonala/task-manager,0,0,0,0,35726,1,96,1,1,1,0,Python,151,0
yancostrishevsky/bias-analysis,0,0,0,0,762,1,6,0,1,1,0,Python,41,0
HigorLoren/t1-data,0,0,12,0,6900,2,11466,1,1,1,0,Python,84,0
safiaSidimoussa12/iris-species-classifier,0,0,0,0,2,1,9,1,1,1,0,Python,5,0
chiajung-wang/nl2sql-eval,0,0,0,0,50,1,15,1,1,1,0,Python,0,0
fesp/ha_sma_zero_export,0,0,0,0,68,1,11,1,1,1,0,Python,20,0
winfreywekesa148-bit/Cash_Reg,0,0,0,0,8,1,9,1,1,1,0,Python,0,0
zjj1280637679-ship-it/screen-guardian,0,0,0,0,2331,1,25,1,1,1,0,Python,1,0
pradyumna106-ship-it/the-aussie-outfit-authentican-service,0,0,0,0,54,1,12,1,1,1,0,JavaScript,33,0
iniadittt/iniadittt,0,0,0,0,4355,1,16957,1,1,1,0,JavaScript,1,0
Shruu11/store-rating-webapp,0,0,0,0,416,1,10,1,1,1,0,JavaScript,6,0
dimasfath1994/postdimtrial,0,0,0,0,14718,2,115,1,1,1,0,JavaScript,32,0
TEEE88/spec-runner,0,0,0,0,460,1,1,1,1,1,0,JavaScript,89,0
llcsdsa-cmd/biz-navi.test,0,0,0,0,1564,1,162,1,1,1,0,JavaScript,24,0
globogympurplecobras/ukfl-draft-2026,0,0,0,0,10498,2,55,1,1,1,0,JavaScript,3,0
Nouraaa1221/Scent-of-Life,0,0,0,0,90192,1,2,1,1,1,0,JavaScript,0,0
caleb-madgwick/duotax-construction-cost-calculator,0,0,0,0,2022,1,5,1,1,1,0,JavaScript,0,0
faruk00123/MyPortfolio,0,0,0,0,541,2,5,1,1,1,0,JavaScript,26,0
pavangujarathi-taxcore/taxcore,0,0,0,0,3239,2,32,1,1,1,0,TypeScript,59,0
biratkdk/Earthlyn-Frontend,0,0,0,0,46658,1,116,1,1,1,6,TypeScript,124,0
dimireme/dca-dashboard,0,0,0,0,195,1,12,1,1,1,0,TypeScript,0,0
lowkeyarhan/agentic-QA-benchmarking,0,0,0,0,259,1,11,1,1,1,0,TypeScript,0,0
rendyandika28/resumatch,0,0,0,0,2304,1,24,1,1,1,0,TypeScript,0,0
23DP2JLesc/3_kurss_projekts,0,0,0,0,1128,2,34,1,1,1,0,TypeScript,28,0
Arghyadevs/Arghyadevs,0,0,0,0,5860,3,8576,1,1,1,0,TypeScript,310,0
f10w3r/Obsidian-Live-Citations,0,0,0,0,2726,5,113,1,1,1,0,TypeScript,0,0
GPOI-2526-5E/SmartFare,0,1,0,0,217988,4,340,1,1,1,0,TypeScript,116,0
ntnyq/vuepress-plugin-iconify,0,1,3,0,1242,2,104,1,1,1,7,TypeScript,1498,0
yingfeng/harness-go,0,0,0,0,4476,1,99,1,1,1,0,Go,125,0
jegasape/goget,0,0,0,0,518750,2,7,1,1,1,3,Go,419,0
dlk200430/ai-novel-to-script,0,0,0,0,606,1,108,1,1,1,0,Go,4,0
hakastein/gofluent,0,0,2,0,4146,1,20,0,1,1,14,Go,5,0
satryacode/nexth-dummy-be,0,0,0,0,27,1,15,1,1,1,0,Go,0,0
mohammadne/hot-cron,0,0,0,0,0,1,4,1,1,1,1,Go,0,0
juex-ai/chanwire,0,0,0,0,230,1,45,0,1,1,0,Go,33,0
Jonathanm10/yt-cli,0,0,0,0,246,2,10,1,1,1,0,Go,55,0
thomast8/wlaunch,0,0,0,0,83,1,13,1,1,1,0,Go,0,0
nedoletoff/shlink-bff,0,0,6,0,37074,1,332,1,1,1,0,Go,11,0
terddyy/daily-updates,1,0,0,1,1321,2,1618,0,1,1,0,Python,54,0
Sen-platotech/ethics-council,1,0,0,1,360,1,4,1,1,1,0,Python,52,0
AIDEWWJ/shenlun-agent,2,0,0,2,198,1,6,1,1,1,0,Python,53,0
moonkyu12/Random_Program,1,0,0,1,98,1,16,0,1,1,0,Python,86,0
hulei6188/langchain-agent,1,0,0,1,1787,1,116,1,1,1,0,Python,5,0
wul012/aiproj,1,0,1,1,280380,2,1061,1,1,1,0,Python,28,0
DiegoBarMor/volgrids,3,1,0,3,804,2,352,1,1,1,0,Python,423,0
yolculuk38-debug/HC-TRUST-LAYER,1,0,0,1,2583,2,1675,1,1,1,0,Python,32,0
sh13y/Ada-LK-Blogger-Automation,3,1,0,3,21923,2,3441,1,1,1,8,Python,365,0
feiniaovpn/Free-VPN,2,1,1,2,1101,2,3426,1,1,1,2,Python,172,0
freshworks-developers/serverless-app-samples,3,11,2,3,36444,2,26,1,1,1,2,JavaScript,1722,0
freshworks-developers/request-method-samples,8,7,4,8,590,2,66,0,0,1,2,JavaScript,1722,0
freshworks-developers/app-setup-events-samples,1,2,0,1,63,3,14,1,1,1,0,JavaScript,1371,0
freshworks-developers/key-value-storage-samples,1,0,3,1,183,2,14,1,1,1,2,JavaScript,1722,0
freshworks-developers/data-method-samples,1,2,2,1,281,1,7,1,1,1,5,JavaScript,1722,0
freshworks-developers/events-method-samples,1,2,4,1,543,2,13,1,1,1,1,JavaScript,1722,0
benforge/crewup-harness,3,0,0,3,13483,1,43,1,1,1,6,JavaScript,11,0
initchu/initchu,1,0,0,1,117,1,502,1,1,1,0,JavaScript,239,0
sebastienbats/suno-forge,1,0,0,1,139,1,21,1,1,1,0,JavaScript,1,0
TueTu/snapa-chrome-extension,1,0,0,1,2912,2,50,0,1,1,0,JavaScript,131,0
thisusercannotexist/auto-push,13,4,2,13,54302,3,223816,0,1,1,0,Python,412,0
alepee/hass-hitachi_yutaki,33,4,14,33,9775,5,486,0,0,1,7,Python,573,0
KiryaScript/white-lists,33,3,0,33,202278,1,13168,1,1,1,0,Python,146,0
mlsecdev/mlsecdev,10,1,0,10,269,2,134,1,1,1,0,Python,160,0
Rimagination/instsci,16,3,0,16,311,2,30,1,1,1,0,Python,37,0
ProxyScrape/free-proxy-list,13,0,0,13,2655111,1,3488,1,1,1,20,Python,12,0
qgisred/QGISRed,33,10,53,33,61632,5,1540,1,1,1,0,Python,2583,0
kusari-oss/darnit,18,15,47,18,3100,9,314,1,1,1,0,Python,152,0
douglasmonsky/codex-usage-tracker,11,4,0,11,15683,1,106,1,1,1,18,Python,22,0
CosmoStatGW/CHIMERA,14,0,0,14,23081,3,100,0,1,1,4,Python,1117,0
ctxr-dev/llm-wiki-memory,40,0,0,40,852,2,28,1,1,1,10,JavaScript,17,0
BEKO2210/World_report,31,1,1,31,4265,3,517,1,1,1,10,JavaScript,89,0
coalesce-labs/catalyst,13,2,175,13,15192,2,907,0,1,1,10,JavaScript,247,0
SAP/wdio-qmate-service,15,14,14,15,19093,24,1525,1,1,1,5,JavaScript,1503,0
openclaw/clownfish,46,16,0,46,7933,3,2102,0,0,1,0,JavaScript,45,0
ldbv-by/bav4,15,3,30,15,387845,11,14002,1,1,1,0,JavaScript,2104,0
NhanAZ/glyph,23,3,0,23,30859,2,76,0,0,1,6,JavaScript,1070,0
openclaw/clawsweeper-state,12,12,1,12,4327823,4,1281,0,0,1,0,JavaScript,39,0
JokerJohn/openclaw-autotrader,36,1,0,36,11221,1,7921,1,1,1,12,JavaScript,90,0
heznpc/AirMCP,11,2,2,11,5090,2,493,1,1,1,13,JavaScript,87,0
rnamoy/chrome_installer,69,13,0,69,2497,4,3349,1,1,1,0,Python,792,0
lonnyzhang423/toutiao-hot-hub,64,12,0,64,769012,1,43999,1,1,1,0,Python,1978,0
HegeKen/HyperData,51,8,2,51,111927,4,3027,1,1,1,4,Python,958,0
SnailDev/github-hot-hub,88,10,0,88,44257,2,44250,1,1,1,0,Python,1938,0
emmo-repo/EMMOntoPy,68,14,85,68,63910,13,1593,1,1,1,5,Python,2561,0
hotosm/field-tm,81,78,40,81,92565,55,5398,0,1,1,0,Python,1339,0
clarithromycine/zowsup,60,19,1,60,2744,1,126,0,1,1,0,Python,428,0
netresearch/jira-skill,58,18,3,58,1014,17,448,0,1,1,9,Python,213,0
tuttle-dev/tuttle,73,17,19,73,13839,4,1009,1,1,1,5,Python,1833,0
benjaminasterA/antigravity-awesome-skills,52,4,1,52,34911,49,645,1,1,1,0,Python,106,0
Bhupesh-V/til,86,16,1,86,818,2,477,0,1,1,8,JavaScript,2548,0
echs-top/proxy,78,13,2,78,92386,2,2462,1,1,1,0,JavaScript,768,0
cicerakes/Game-Time-Master,63,19,6,63,4771,8,599,1,0,1,2,JavaScript,2558,0
huilang-me/CF-Server-Monitor,62,41,0,62,1174,2,151,1,1,1,0,JavaScript,14,0
probot/metadata,55,19,8,55,1116,16,135,1,1,1,2,JavaScript,3197,0
SAP-cloud-infrastructure/elektra,81,32,87,81,83297,46,7902,1,1,1,2,JavaScript,3828,0
adobe/fetch,60,14,1,60,3887,11,708,0,0,1,10,JavaScript,2387,0
Sillyanonymous/SillyTavern-CharacterLibrary,67,14,8,67,5796,1,66,1,0,1,0,JavaScript,138,0
openclaw/docs,70,37,2,70,286457,10,7622,0,0,1,2,JavaScript,65,0
elkimek/get-based,74,12,11,74,21162,4,1387,0,1,1,20,JavaScript,114,0
Aam-Digital/ndb-core,73,33,192,73,193064,48,3703,0,1,1,5,TypeScript,3728,0
GiuseppeDM98/net-worth-tracker,65,14,0,65,11794,4,814,0,1,1,20,TypeScript,211,0
CodeDredd/h3-compression,89,4,6,89,153,3,26,1,1,1,6,TypeScript,1014,0
juliantanx/aiusage,77,5,0,77,18548,6,391,0,1,1,17,TypeScript,28,0
lsy2246/api-worker,50,52,0,50,2548,1,223,1,1,1,0,TypeScript,114,0
KoreanThinker/billboard-json,58,8,0,58,8273,1,5870,1,1,1,11,TypeScript,1534,0
poe-platform/poe-code,84,9,10,84,27997,9,3826,1,1,1,4,TypeScript,234,0
flamingo-stack/openframe-oss-tenant,60,18,58,60,367561,29,2843,0,0,1,0,TypeScript,563,0
jayminwest/warren,67,23,0,67,10309,2,1301,1,1,1,0,TypeScript,31,0
beefyfinance/beefy-v2,74,126,15,74,243329,49,9497,0,0,1,0,TypeScript,1832,0
komari-monitor/komari-agent,83,87,13,83,225,20,200,1,1,1,0,Go,405,0
signalfx/splunk-otel-go,54,23,19,54,12119,14,2149,0,0,1,0,Go,1945,0
anton48/vk-turn-proxy-ios,80,4,4,80,1178,2,249,1,1,1,0,Go,66,0
ckotzbauer/vulnerability-operator,87,11,6,87,2485,10,750,0,0,0,7,Go,1588,0
scylladb/scylla-manager,62,47,244,62,129575,41,4583,0,0,1,1,Go,1810,0
TanyaShue/MaaYYs,84,8,2,84,348652,4,1171,0,1,1,0,Go,666,0
ajdnik/imghash,58,4,0,58,83365,5,102,1,0,1,0,Go,2923,0
christianhuth/helm-charts,93,55,58,93,14565,24,5786,0,0,1,2,Go,1671,0
k-orc/openstack-resource-controller,78,46,49,78,35253,22,1349,0,0,1,4,Go,962,0
jfrog/jfrog-cli-plugins-reg,58,23,1,58,684,22,163,1,1,1,0,Go,2084,0
xr843/Master-skill,281,58,0,281,637,1,163,1,1,1,15,Python,65,1
CNWU16/vedic-astro-skills,139,10,3,139,2601,3,161,1,1,1,0,Python,52,1
MhdiTaheri/V2rayCollector_Py,210,49,3,210,30426,1,17039,0,0,1,10,Python,917,1
SnailDev/douyin-hot-hub,107,18,3,107,2431071,2,43976,1,1,1,0,Python,1938,1
indmdev/Free-Telegram-Store-Bot,117,59,11,117,61020,1,745470,1,1,1,17,Python,786,1
nyeinkokoaung404/V2ray-Configs,181,10,1,181,5296115,3,39093,1,1,1,0,Python,607,1
TencentBlueKing/blueking-dbm,119,88,560,119,108120,45,5202,1,1,1,18,Python,1105,1
EasonTuT/Awesome-Interactive-World-Model,213,9,0,213,1849,6,67,1,1,1,8,Python,93,1
Abilityai/trinity,129,26,209,129,44782,8,976,0,1,1,0,Python,180,1
mapchete/mapchete,207,30,51,207,13491,7,2436,1,1,1,12,Python,3974,1
1024pix/pix,281,69,26,281,1194488,152,67914,0,0,1,15,JavaScript,2996,1
diandian157/decadeUI,234,23,5,234,391635,15,1515,1,1,1,0,JavaScript,883,1
SecureBananaLabs/bug-bounty,193,611,5066,193,895,1,3806,0,1,1,0,JavaScript,23,1
zhouyoukang1234-spec/windsurf-assistant,214,42,5,214,16436,2,1204,0,0,1,0,JavaScript,22,1
peterpeterparker/kyushu,108,3,2,108,5723,2,94,0,0,1,0,JavaScript,10,1
laravel/precognition,172,47,2,172,496,20,336,0,0,1,1,JavaScript,1377,1
BetterNCM/BetterNCM-Plugins,141,46,1,141,140604,29,4886,1,1,1,0,JavaScript,1284,1
oneclickvirt/oneclickvirt.github.io,163,29,0,163,360081,6,1297,0,1,1,13,JavaScript,1088,1
keithamus/invokers-polyfill,152,21,7,152,162,18,193,0,1,1,0,JavaScript,1021,1
liununu/liununu,132,57,1,132,2368,3,8607,0,0,0,0,JavaScript,2153,1
justjavac/zhihu-trending-top-search,221,41,0,221,25379,1,40006,0,0,1,0,TypeScript,2023,1
wenxig/dongtai-sub,171,19,0,171,631,3,2456,0,0,1,15,TypeScript,323,1
cyanheads/pubmed-mcp-server,107,20,2,107,6507,1,296,0,1,1,19,TypeScript,381,1
source-academy/frontend,110,194,187,110,42913,172,2450,1,1,1,7,TypeScript,2949,1
SonarSource/sonarqube-cli,183,8,21,183,3661,20,434,0,0,0,8,TypeScript,123,1
ant-design/ant-design-cli,220,10,2,220,23613,10,243,0,0,1,3,TypeScript,85,1
suxess-it/kubriX,246,38,97,246,32451,4,3087,1,1,1,0,TypeScript,808,1
fabric8-analytics/fabric8-analytics-vscode-extension,253,195,18,253,32307,35,608,1,1,1,7,TypeScript,3233,1
radix-ng/primitives,252,17,18,252,14885,11,1078,0,1,1,9,TypeScript,793,1
Hello-QM/catgo-LRG,120,12,3,120,27256,10,355,0,1,1,15,TypeScript,41,1
andyrewlee/amux,122,2,13,122,2904,2,419,1,1,1,12,Go,160,1
grafana/cog,100,7,57,100,4971,17,1786,0,0,1,0,Go,1004,1
raketenkater/llm-server,221,10,0,221,12149,2,203,1,1,1,12,Go,89,1
controlplaneio/badrobot,229,5,8,229,10352,9,712,1,1,1,0,Go,1698,1
transparency-dev/tessera,200,48,32,200,5508,16,824,1,1,1,0,Go,727,1
unxed/f4,125,6,65,125,4581,4,967,1,1,1,0,Go,87,1
metal3-io/cluster-api-provider-metal3,277,133,57,277,83199,84,4330,1,1,1,0,Go,2287,1
elastic/fleet-server,109,109,91,109,16002,70,2479,1,1,1,0,Go,2036,1
agntcy/dir,154,42,73,154,25157,28,849,1,1,1,0,Go,483,1
elastic/terraform-provider-elasticstack,208,143,78,208,64046,97,2643,0,1,1,3,Go,1685,1
FalkorDB/code-graph,313,50,100,313,4490,12,1234,1,1,1,8,Python,887,1
LeslieLeung/opensource-lighthouse,805,61,2,805,424251,2,760,0,0,1,3,Python,711,1
vil/H4X-Tools,772,106,2,772,3975,6,402,1,1,1,20,Python,1512,1
lonnyzhang423/douyin-hot-hub,711,129,2,711,2442392,1,43872,1,1,1,0,Python,1977,1
Agions/scene-fab,301,55,1,301,5082,1,439,1,1,1,10,Python,465,1
jiujiu532/grok2api,815,103,5,815,484,3,78,1,1,1,0,Python,22,1
Argh94/V2RayAutoConfig,321,51,5,321,10901184,2,11347,1,1,1,5,Python,332,1
facebookresearch/spdl,391,24,30,391,37542,15,1187,0,1,1,2,Python,711,1
TomoeMami/S1PlainTextBackup,527,61,0,527,596740,2,22378,0,0,1,0,Python,2318,1
lablup/backend.ai,646,177,1380,646,670858,90,5251,1,1,1,11,Python,3533,1
weishakeji/LearningSystem,333,180,10,333,342877,1,4326,1,1,1,4,JavaScript,3050,1
mljar/supertree,545,21,9,545,44418,2,142,0,1,1,10,JavaScript,684,1
ulsklyc/yuvomi,810,50,9,810,238846,13,1403,0,0,1,12,JavaScript,76,1
ailyProject/aily-blockly-libraries,546,18,33,546,192697,15,1984,1,1,1,0,JavaScript,462,1
Seeed-Studio/wiki-documents,326,282,60,326,867270,186,14343,0,1,1,10,JavaScript,2064,1
nextcloud/forms,372,119,104,372,21946,56,5496,0,0,1,10,JavaScript,2584,1
brightbeanxyz/brightbean-studio,1787,360,15,1787,3500,4,464,0,1,1,15,Python,75,1
intuitem/ciso-assistant-community,4114,744,105,4114,241413,102,7428,0,0,1,20,Python,992,1
ml-explore/mlx-lm,5610,746,352,5610,1997,184,837,0,0,1,2,Python,454,1
polarsource/polar,9926,731,114,9926,429863,125,15625,0,1,1,12,Python,1229,1
tobymao/sqlglot,9311,1165,4,9311,41577,328,7721,1,1,1,20,Python,1914,1
DataDog/integrations-core,1121,1536,366,1121,559900,383,20416,1,1,1,4,Python,3842,1
xingpingcn/enhanced-FaaS-in-China,2994,173,0,2994,26517,2,75612,0,0,1,7,Python,823,1
conan-io/conan-center-index,1183,2325,2050,1183,67321,395,24054,1,1,1,11,Python,2478,1
alistaitsacle/free-llm-api-keys,1838,191,5,1838,8381,2,6332,1,1,1,20,Python,78,1
liaohch3/claude-tap,1565,171,28,1565,98802,14,291,1,1,1,20,Python,113,1
tiagozip/cap,6792,466,2,6792,12697,26,655,0,0,1,8,JavaScript,513,1
Countly/countly-server,5871,981,15,5871,762542,89,27040,0,1,1,20,JavaScript,5124,1
IsmaelMartinez/teams-for-linux,4747,347,29,4747,21340,117,1614,0,1,1,4,JavaScript,2805,1
yeahhe365/Gemini-Nexus,1058,145,14,1058,5580,5,145,1,1,1,7,JavaScript,172,1
airbytehq/airbyte,21418,5211,2229,21418,869063,378,47517,0,1,1,20,Python,2142,1
infiniflow/ragflow,82281,9486,3349,82281,124929,465,6638,0,1,1,10,Python,910,1
NousResearch/hermes-agent,188087,32397,19778,188087,315038,383,11152,1,1,1,16,Python,321,1
vllm-project/vllm,82305,17830,5278,82305,217981,457,17394,0,1,1,20,Python,1215,1
PostHog/posthog,34930,2836,3872,34930,5240816,400,44841,0,1,1,15,Python,2328,1
getsentry/sentry,44078,4725,2072,44078,889785,351,104951,0,1,1,15,Python,5761,1
agentscope-ai/agentscope,26561,2968,301,26561,61121,59,320,0,1,1,9,Python,879,1
jundot/omlx,16285,1390,506,16285,52568,131,1596,0,1,1,6,Python,115,1
comet-ml/opik,19498,1505,173,19498,657223,121,6011,0,1,1,13,Python,1125,1
ultralytics/ultralytics,58172,11155,322,58172,56955,359,4066,1,1,1,20,Python,1366,1
